證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8297028","945842517","115.00","115.75","113.40","113.60","0.8000","6274"
"0051","元大中型100","52504","2155141","40.86","41.25","40.86","41.04","0.2000","46"
"0052","富邦科技","1625944","164040093","102.60","103.00","100.05","100.05","1.0500","798"
"0053","元大電子","52574","2854523","54.55","54.75","53.95","53.95","0.7000","41"
"0054","元大台商50","33877","901322","26.70","26.70","26.59","26.61","0.0900","13"
"0055","元大MSCI金融","166200","3078290","18.55","18.59","18.44","18.53","0.0400","95"
"0056","元大高股息","15297071","441311259","28.98","28.99","28.80","28.81","0.0100","9580"
"0057","富邦摩台","31935","2386544","75.05","75.15","74.30","74.30","0.6000","15"
"0061","元大寶滬深","335819","7597682","22.57","22.74","22.55","22.57","0.0200","129"
"006203","元大MSCI台灣","6261","330577","53.00","53.00","52.60","52.60","0.3000","10"
"006204","永豐臺灣加權","3443","233229","68.15","68.15","67.80","67.80","0.3000","7"
"006205","富邦上証","1355574","49300973","36.27","36.52","36.27","36.31","0.0900","236"
"006206","元大上證50","231716","8600178","37.00","37.37","37.00","37.10","0.1400","63"
"006207","FH滬深","119664","3534307","29.51","29.62","29.48","29.48","-0.0200","33"
"006208","富邦台50","2676135","171210322","64.65","65.20","63.70","63.70","0.0000","1277"
"00625K","富邦上証+R","50000","422500","8.45","8.45","8.45","8.45","0.0800","2"
"00631L","元大台灣50正2","6954973","533114473","77.30","77.40","75.90","76.10","-0.2000","1841"
"00632R","元大台灣50反1","157597233","1202259263","7.61","7.67","7.59","7.64","-0.0400","10677"
"00633L","富邦上証正2","6294395","390160329","61.95","62.35","61.70","61.80","0.3000","1191"
"00634R","富邦上証反1","414000","1790260","4.31","4.34","4.31","4.33","0.0000","79"
"00635U","元大S&P黃金","1158204","29846664","25.79","25.80","25.73","25.74","-0.1100","295"
"00636","國泰中國A50","664918","17105362","25.62","25.79","25.62","25.71","0.1100","237"
"00636K","國泰中國A50+U","100","900","9.00","9.00","9.00","9.00","0.1400","1"
"00637L","元大滬深300正2","39897331","966600062","24.23","24.37","24.09","24.20","0.2000","4839"
"00638R","元大滬深300反1","327003","2843576","8.68","8.72","8.68","8.71","0.0000","71"
"00639","富邦深100","1735148","27240727","15.74","15.83","15.62","15.65","-0.0900","331"
"00640L","富邦日本正2","915000","20657280","22.61","22.74","22.45","22.70","-0.0100","98"
"00641R","富邦日本反1","595000","7367940","12.37","12.44","12.35","12.35","0.0100","124"
"00642U","元大S&P石油","10166658","76923833","7.56","7.58","7.54","7.58","0.1000","1899"
"00643","群益深証中小","1346962","24005724","17.87","18.08","17.68","17.70","-0.1700","385"
"00643K","群益深証中小+R","1000","4130","4.13","4.13","4.13","4.13","-0.0900","1"
"00645","富邦日本","326590","7370104","22.57","22.60","22.50","22.60","0.0000","52"
"00646","元大S&P500","535176","16861717","31.54","31.57","31.43","31.43","-0.0500","280"
"00647L","元大S&P500正2","368021","17278948","47.12","47.13","46.72","46.79","-0.1800","105"
"00648R","元大S&P500反1","1372011","11984556","8.72","8.76","8.72","8.76","0.0100","153"
"00650L","FH香港正2","823000","21463960","26.02","26.26","25.96","26.05","0.2100","165"
"00651R","FH香港反1","167000","1294640","7.85","7.85","7.74","7.75","-0.0500","33"
"00652","富邦印度","267143","5981933","22.35","22.43","22.30","22.30","-0.0500","162"
"00653L","富邦印度正2","3485627","98306313","28.17","28.38","28.00","28.10","-0.0400","331"
"00654R","富邦印度反1","79000","889950","11.15","11.31","11.15","11.28","0.0300","37"
"00655L","國泰中國A50正2","1997000","91928130","45.97","46.33","45.77","46.00","0.3200","639"
"00656R","國泰中國A50反1","72000","572570","7.94","7.98","7.94","7.95","-0.0400","18"
"00657","國泰日經225","104626","3352074","32.00","32.10","32.00","32.10","0.1000","6"
"00657K","國泰日經225+U","100","1121","11.21","11.21","11.21","11.21","0.0200","1"
"00660","元大歐洲50","29595","706475","23.95","23.95","23.85","23.85","-0.1000","20"
"00661","元大日經225","38969","1260204","32.30","32.45","32.25","32.45","0.5000","12"
